,NAME,ADDRESS,City,State Code,Zip Code,County,Rural Versus Urban,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders,Number of Beds + Total for all Subproviders,Total Bed Days Available + Total for all Subproviders,Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Hospital Number of Beds For Adults &amp; Peds,Hospital Total Bed Days Available For Adults &amp; Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges
5200,OCEANS BEHAVIORAL HOSPITAL OF BATON,11135 FLORIDA BOULEVARD,BATON ROUGE,LA,70815,E. BATON ROUGE PARISH,U,64.84,"7,063",20,"7,300",496,"7,063",20,"7,300",496,7063,20,7300,496,0,0,0,0,3126662,3409778,182188,6758142,10638531,4889800,15528331,0,0,0,0,0,0,0,0,0,786020,0,0,0,96193,10975974,0,0,58022,58022,11606037,293390,167196,0,0,0,271482,732068,0,0,0,252391,252391,984459,10621578,10621578,11606037,0,0,10638531,4889800,15528331,8199168,6536440,1662728,-195128,1467600,0,1467600,,0,0
5201,YORK HOSPITAL,15 HOSPITAL DR,YORK,ME,03909-,YORK,U,928.52,"13,240",66,"24,090",2965,"38,131",66,"24,090","2,965",11974,61,22265,2965,284259,10797684,4962294,4962294,88274165,103808177,4374913,139494907,94291732,260510929,354802661,16062669,0,88274165,1687220,196246,0,926921,0,0,23219856,0,5745350,1371955,0,35406149,0,21931868,21394641,43326509,128368248,9839350,7461015,0,1425628,0,186974,18912967,0,15492312,0,18345716,33838028,52750995,75617253,75617253,128368248,0,0,97815710,325897810,423713520,180421180,191385645,-10964465,7041001,-3923464,0,-3923464,0.39,9018302,18042142
5202,MERCY HOSPITAL AURORA,500 PORTER STREET,AURORA,MO,65605-,LAWRENCE,R,124,"1,780",25,"9,150",447,"1,780",25,"9,150",447,1159,25,9150,447,1299952,4926631,3766127,3766127,9123278,7579893,1082490,15601391,8884459,37972988,46857447,0,0,0,0,0,0,375,0,0,4718727,-2899313,93089,0,824550,2737428,0,0,86643,86643,5983480,152910,65950,0,0,0,679283,1606003,0,0,0,0,0,1606003,4377477,4377477,5983480,0,0,9377076,43085385,52462461,17130620,16703171,427449,1657131,2084580,0,2084580,0.33,3632390,10806055
5203,NORTHBROOK BEHAVIORAL HEALTH HOSPITA,425 WOODBURY TURNERSVILLE ROAD,BLACKWOOD,NJ,8012,CAMDEN,U,179.9,"54,223",158,"57,670",2438,"54,223",158,"57,670","2,438",54223,158,57670,2438,0,0,0,0,25403129,35329062,1734456,29926745,51486270,0,51486270,5108880,0,25403129,4177921,0,0,1138572,0,0,16546680,-665000,0,400000,0,17420252,0,0,19201,19201,22330684,3774666,2184461,158232,0,0,587005,6704364,40000000,0,0,0,40000000,46704364,-24373680,-24373680,22330684,0,0,78697971,0,78697971,72677826,60732191,11945635,-160377,11785258,0,11785258,,0,0
5204,MCCULLOUGH-HYDE MEMORIAL HOSPITAL,101 N. POPLAR ST,OXFORD,OH,45056-,BUTLER,U,285.52,"6,389",45,"16,470",1843,"6,389",45,"16,470","1,843",5056,41,15006,1843,541533,4428711,2227552,5454711,19468192,36219486,4432178,48142316,41705028,110205352,151910380,4642804,0,18803397,281204,0,0,10530400,0,0,4604144,0,1411857,60927,-5912009,10695319,0,0,1036482,1036482,48263716,782818,2996632,0,0,0,943813,4723263,0,0,0,11565239,11565239,16288502,31975214,31975214,48263716,0,0,41705028,112172170,153877198,55221708,55669942,-448234,2667906,2219672,4243371,-2023699,0.32,3708960,22063295
5205,OCEANS BEHAVIORAL HOSPITAL OF LUFKIN,302 GOBBLERS KNOB RD,LUFKIN,TX,75904,ANGELINA,R,63.34,"6,822",24,"8,760",540,"6,822",24,"8,760",540,6822,24,8760,540,0,0,0,0,2773376,2741182,86680,5807196,9135795,1792200,10927995,0,0,0,0,0,0,0,0,0,731131,0,0,0,59857,6478366,0,0,5618,5618,6789709,202141,135913,0,0,0,205630,543684,0,0,0,131463,131463,675147,6114562,6114562,6789709,0,0,9135795,1792200,10927995,7173596,5514558,1659038,159015,1818053,-3,1818056,,0,0
5206,WELLBRIDGE FORT WORTH,6200 OVERTON RIDGE BLVD,FORT WORTH,TX,76132,TARRANT,U,61.67,"10,385",48,"17,520",915,"10,385",48,"17,520",915,10385,48,17520,915,0,0,0,0,4075893,5044192,0,8350128,14451250,663859,15115109,0,0,0,0,0,0,152679,0,0,1508679,0,17772,18902,-927941,770091,0,0,0,0,1068823,2363471,0,0,0,0,240290,2603761,0,0,0,559571,559571,3163332,-2094509,-2094509,1068823,0,0,14451250,663859,15115109,8246258,9120085,-873827,0,-873827,-3,-873824,,0,0
5207,HIGHLINE MEDICAL CENTER,16251 SYLVESTER RD. SW,SEATTLE,WA,98166-0657,KING,U,641.42,"27,693",150,"43,426",6333,"27,693",150,"43,426","6,333",24514,140,39766,6333,6721834,6175159,9167160,30683660,55654527,151639047,15704358,199968299,388827055,554447768,943274823,15801892,0,67501745,9777155,0,0,14027953,0,0,124681895,-102188416,4444303,109246,0,42986644,0,33589884,20352992,53942876,228452294,1726556,7114870,0,4444819,0,28918418,42204663,94506387,0,0,5160593,99666980,141871643,86580651,86580651,228452294,0,0,388984976,554447764,943432740,170755187,207293574,-36538387,15796747,-20741640,0,-20741640,0.21,20046848,204391338
5208,GOOD SAMARITAN HOSPITAL,407TH 14TH AVENUE SE,PUYALLUP,WA,98371,PIERCE,U,"1,742.84","93,142",313,"112,616",18163,"104,704",361,"130,136","18,854",78471,270,96921,18163,7278661,18981470,21141891,44658667,184663717,338993413,0,393940772,1165063605,914513705,2079577310,36308646,0,184663717,17134145,65335,178593,0,328365066,0,70014702,-7512702,5604183,0,7991,396479240,0,7626056,0,7626056,840969411,4349771,0,0,0,0,0,4349771,0,0,0,1824610,1824610,6174381,834795030,834795030,840969411,31498693,48277,1164305074,1001812326,2166117400,567398415,523657130,43741285,6757938,50499223,0,50499223,0.19,52840840,403085078
5209,ST JOSEPH MEDICAL CENTER,1717 SOUTH J STREET,TACOMA,WA,98405,PIERCE,U,"2,444.74","108,582",374,"136,884",22265,"108,582",374,"136,884","22,265",68785,292,106872,22265,10116225,3172471,15204313,58195347,206861135,459730151,35916425,662404270,1895188305,1158614056,3053802361,49493080,0,242330734,12567608,0,56865,137388431,0,0,440819582,-342620738,16761926,818832,0,294318720,0,7445867,20220405,28901965,508185914,126823583,28039173,0,327330,0,72041423,226929321,0,0,0,1306929,1306929,228236250,279949664,279949664,508185914,46775865,193473,1901744582,1151267873,3053012455,666784379,666591286,193093,27223606,27416699,0,27416699,0.22,64170292,523194467
5210,TACOMA GENERAL ALLENMORE HOSPITAL,315 SOUTH MLK JR. WAY,TACOMA,WA,98415-0299,PIERCE,U,"3,018.74","110,661",365,"132,145",18376,"162,065",392,"142,000","19,148",77786,247,89075,18376,11877504,28580955,30021801,65005402,331298026,617642288,26172036,653038502,1748611276,1930634867,3679246143,49032764,0,331298026,20908472,1098789,331498,0,973161895,0,129549720,-8342069,13663216,26098,999267,1109058127,0,0,0,0,1450443588,6465565,0,0,0,0,835331,7300896,0,0,0,505000,505000,7805896,1442637692,1442637692,1450443588,38626178,1518116,1748806928,2202051653,3950858581,1237723163,948940314,288782849,20320368,309103217,0,309103217,0.18,122784477,888874303
5211,ST FRANCIS HOSPITAL,34515 NINTH AVENUE S,FEDERAL WAY,WA,98003-,KING,U,822.31,"31,473",124,"45,384",8383,"31,473",124,"45,384","8,383",24751,110,40260,8383,6394829,5665473,9423801,24983066,72382355,156807086,13081134,216557485,552416887,767645966,1320062853,18391136,0,84594418,3665860,0,148295,39996,0,0,170874327,-137624219,6573699,210887,0,42355046,0,33162578,17308137,50470715,168836378,3604730,9383483,0,0,0,33725860,46216930,0,0,0,0,0,46216930,122619448,122619448,168836378,13088268,542789,551054004,767645965,1318699969,248198300,229189441,19008859,10567528,29576387,0,29576387,0.16,28509489,283105188
5212,ST ANTHONY HOSPITAL,11567 CANTERWOOD BLVD NW,GIG HARBOR,WA,98332-,PIERCE,U,534.88,"25,037",112,"40,992",5000,"25,037",112,"40,992","5,000",21764,96,35136,5000,2110717,2838964,3676317,10978564,46091958,106773312,10633058,144286880,370612490,514800576,885413066,11719718,0,54078560,2382816,0,0,-296300,0,0,107180129,-86642314,3874890,64797,0,25977763,0,845038,3126709,3971747,135337484,1908022,5164952,0,0,0,21613823,30306005,0,0,0,2519852,2519852,32825857,102511627,102511627,135337484,0,0,370612490,510229558,880842048,160643578,152865270,7778308,11576539,19354847,0,19354847,0.16,10766968,116508530
5213,HONORHEALTH SCOTTSDALE OSBORN MED CT,7400 E OSBORN ROAD,SCOTTSDALE,AZ,85251,MARICOPA,R,"1,567.92","63,135",327,"118,878",13556,"98,780",341,"123,988","13,847",52422,268,97416,13556,5433927,16188245,8878733,29417749,119018535,264436277,20479960,357257428,1360757285,1112252364,2473009649,25730248,0,120469587,421434,0,244884,247287,0,0,68117113,0,17368250,0,2442830,88175480,0,0,0,0,193060932,6348392,0,0,0,0,6796648,13145040,0,0,0,-278373031,-278373031,-265227991,458288923,458288923,193060932,27422022,1871661,1368256632,1112252362,2480508994,402948610,383454812,19493798,11146517,30640315,0,30640315,0.14,33369573,373165373
5214,CONWAY BEHAVIORAL HEALTH,2255 STURGIS ROAD,CONWAY,AR,72034,FAULKNER,U,124.6,"18,270",80,"29,200",2004,"18,270",80,"29,200","2,004",18270,80,29200,2004,0,0,0,0,6816031,6091753,868094,11706999,40382274,1729935,42112209,0,0,0,0,0,0,-9921,0,0,2586829,-487036,0,77718,199810,2367400,0,0,5000,5000,24408251,444664,454828,0,0,0,-494220,405272,0,0,0,26707120,26707120,27112392,-2704141,-2704141,24408251,0,0,41213534,1729935,42943469,14180592,12907784,1272808,-7751,1265057,0,1265057,,0,0
5215,ADVENTIST HEALTH REEDLEY,372 WEST CYPRESS,REEDLEY,CA,93654-,FRESNO,R,306.22,"6,021",49,"17,885",1803,"469,110",49,"17,885","1,803",3878,49,17885,1803,1115622,4228107,3587508,3587508,51629494,110435627,2056524,183071996,38917635,277793859,316711494,6632458,7644475,51629494,0,0,0,64619776,0,0,56614598,-34227570,684331,356981,0,106195774,0,0,46082977,46082977,178613386,3776285,5572718,0,0,0,55658684,67437824,0,0,0,0,0,67437824,111147081,111175562,178613386,378524,24319,38748682,277967030,316715712,170357992,162065121,8292871,19129078,27421949,0,27421949,0.58,102809530,203490630
5216,GOOD SAMARITAN HOSPITAL,2425 SAMARITAN DRIVE,SAN JOSE,CA,95124,SANTA CLARA,U,"1,509.06","84,753",318,"114,738",16913,"95,910",351,"126,783","18,012",56740,232,83348,16913,6944340,9945919,8564270,13642050,234293764,282382279,17752178,500341814,3505504818,1863278310,5368783128,77224251,0,234737910,9850724,0,0,-22184,0,0,140204470,-24926887,10861143,1929242,0,122284245,0,0,27029285,27029285,326262157,22068554,18391649,-14779279,185815,0,699023,26565762,0,631512,-453752941,2218578,-450902851,-424337089,750599246,750599246,326262157,22666058,0,3505508461,1861915106,5367423567,712404403,516364338,196040065,1413879,197453944,0,197453944,0.09,34687156,426646778
5217,LONGMONT UNITED HOSPITAL,1950 WEST MOUNTAIN VIEW AVENUE,LONGMONT,CO,80501-3129,BOULDER,U,993.05,"18,351",116,"42,340",4301,"18,428",116,"42,340","4,301",13707,94,34310,4301,3828982,9945902,6571606,15427657,50145322,96403201,13290762,128367771,282734665,324915095,607649760,9935851,0,50145322,1783989,0,0,12028067,0,0,78571488,-61015821,4167381,1245616,0,4322659,0,53101215,1749607,54850822,186310364,6880033,2618254,0,0,0,5518844,15017131,0,71323114,0,0,71323114,86340245,99970119,99970119,186310364,6801369,0,274527453,365802759,640330212,141130455,146548523,-5418068,6183948,765880,-2220978,2986858,0.21,11722855,126341006
5218,ST ANTHONY HOSPITAL,11600 W. 2ND PLACE,LAKEWOOD,CO,80228,DENVER,U,"1,464.43","56,322",219,"80,154",11082,"62,656",237,"86,742","11,592",42211,143,52338,11082,7909969,21195685,13908566,47957022,126052374,253262705,25602607,324050273,1191797365,771437654,1963235019,21483835,0,126052374,3585061,0,217578,23429,0,0,313172573,-247110354,10731881,939991,0,256130946,0,0,98870878,98870878,677224958,20008973,7377593,0,-146604,0,42486234,69726196,0,0,0,14226557,14226557,83952753,593272205,593272205,677224958,32378201,921456,1179668680,876164643,2055833323,402982112,379315079,23667033,13342097,37009130,-2857456,39866586,0.17,18737000,319797502
5219,PORTER ADVENTIST HOSPITAL,2525 SOUTH DOWNING STREET,DENVER,CO,80210,DENVER,U,"1,109.44","29,670",180,"65,700",6464,"41,783",236,"86,140","8,129",24841,144,52560,6464,2826042,9589221,5670295,29847262,101366683,211463106,20949575,246629862,699423246,615786355,1315209601,15941657,0,101366683,2883013,0,0,223262,367,0,175307195,-135077392,9417559,1431639,0,22228852,0,0,16225739,16225739,219471136,15844054,3807415,0,9821081,0,4330412,33802962,0,0,0,126490376,126490376,160293338,59177798,59177798,219471136,18440618,27331,696704211,690353546,1387057757,292579635,312829789,-20250154,6447772,-13802382,314065,-14116447,0.19,17307575,189136014
5220,CASTLE ROCK ADVENTIST HOSPITAL,2350 MEADOWS BOULEVARD,CASTLE ROCK,CO,80109,DOUGLAS,U,478,"11,293",53,"19,345",3404,"11,318",53,"19,345","3,404",8065,41,14965,3404,1367060,7621218,2891793,6425700,41502616,71415657,9905300,80206566,167302628,307157763,474460391,7069325,0,41502616,0,0,0,7598,23,0,65353967,-48071387,2554617,-6744,0,43695525,0,11,6203047,6203058,167836186,4654455,1374281,0,2293570,474849,1537659,10334814,0,0,0,9919770,9919770,20254584,147581602,147581602,167836186,4076406,0,166973439,346459348,513432787,119961073,112918273,7042800,1606529,8649329,59168,8590161,0.17,6260184,63309487
5221,HAXTUN HOSPITAL DISTRICT,235 WEST FLETCHER STREET,HAXTUN,CO,80731-2737,PHILLIPS,R,79.2,"7,351",25,"9,125",80,"7,351",25,"9,125",80,214,25,9125,80,0,150065,118440,735966,4968655,4403419,291553,7610211,4013232,5447366,9460598,0,0,0,0,0,0,2174852,0,0,1784152,-419518,327105,90594,0,3957185,0,2800,436349,439149,5846643,502572,392759,0,243856,0,0,1139187,0,509279,0,458841,968120,2107307,3739336,3739336,5846643,0,0,3816299,7935411,11751710,8899474,9522139,-622665,1714251,1091586,0,1091586,0.8,942075,1938811
5222,THE STAMFORD HOSPITAL,ONE HOSPITAL PLAZA,STAMFORD  CT 06904,CT,06904-,FAIRFIELD,U,"2,794.09","67,094",288,"105,120",14882,"72,817",305,"111,325","15,325",56006,252,91980,14882,7835557,48122172,18030298,65226053,301107865,380192267,43891976,468556882,815710636,1582283636,2397994272,68977736,0,301375433,2505268,375750,1713879,85299000,33000,0,91408000,0,0,0,15042000,200520000,0,96681000,101709000,228408000,1088668000,80394000,40603000,0,0,0,16020000,137017000,0,377057000,0,168898000,545955000,682972000,322307000,405696000,1088668000,13774824,4750115,786483727,1820972687,2607456414,654286203,681300132,-27013929,23477801,-3536128,0,-3536128,0.2,52504501,412088681
5223,CHARLOTTE HUNGERFORD HOSPITAL,540 LITCHFIELD STREET,TORRINGTON,CT,06790-0988,LITCHFIELD COUNTY,R,777.87,"21,063",91,"33,215",5023,"26,547",108,"39,420","5,718",17825,81,29565,5023,1134726,2507380,2377789,16037511,63074372,77571642,7559826,132600453,124349353,201029785,325379138,11884514,0,63074372,1338793,51005,0,12091396,0,0,20018885,-4981893,2168211,0,1363265,28158970,0,67172495,5369254,72541749,157652068,5090888,6572964,0,650000,0,6371034,18684886,0,9955179,0,38244195,48199374,66884260,58943403,90767808,157652068,0,0,138629668,233265649,371895317,130386145,140646014,-10259869,5798470,-4461399,496794,-4958193,0.41,8936041,66559684
5224,MIDDLESEX HOSPITAL,28 CRESCENT STREET,MIDDLETOWN,CT,06457-,MIDDLESEX,R,"2,090.90","45,034",187,"68,255",10920,"109,925",213,"77,745","11,792",35873,163,59495,10920,905431,11064284,5806390,5806390,193934024,215930654,23603630,324691862,501450726,709544079,1210994805,44027504,0,193934024,1896530,271624,537151,40884000,14759000,0,35571000,0,0,5270000,11955000,112302000,0,176713000,18055000,194768000,528879000,26245000,29863000,0,4848000,0,6175000,67131000,37513000,0,0,37352000,74865000,141996000,386883000,386883000,528879000,26544424,1699122,532632006,777162057,1309794063,428919000,409865000,19054000,21187000,40241000,0,40241000,0.27,34752020,201001723
5225,THE WILLIAM W. BACKUS HOSPITAL,326 WASHINGTON STREET,NORWICH,CT,6360,NEW LONDON,U,"1,354.39","44,372",165,"60,225",10236,"50,331",183,"66,795","10,849",39967,153,55845,10236,3829282,9933198,8032869,14404134,118683048,224335271,14145915,315149644,352647629,610284343,962931972,31762765,0,118683048,4121838,0,0,36654243,0,0,49545397,-10804661,4907017,1810851,0,93374264,0,380090443,52775635,432866078,626039262,12513910,9184329,0,861018,0,4528251,36127120,982031,81371875,0,68751980,151105886,187233006,426761997,438806256,626039262,0,0,372682821,649509560,1022192381,351669316,343018319,8650997,11889697,20540694,0,20540694,0.33,45632510,191326435
5226,ST. VINCENTS MEDICAL CENTER,2800 MAIN STREET,BRIDGEPORT,CT,06606-4201,FAIRFIELD,U,"2,084.50","49,090",191,"69,715",10371,"75,830",293,"106,945","12,876",43011,177,64605,10371,8837859,23579487,16393572,39184134,120184446,263005429,24786578,360725526,706360744,472787440,1179148184,34212158,0,120184446,1471101,0,926364,813341,0,0,123194121,-86061306,4903443,925734,496377,46763682,0,0,41192032,41192032,233895067,5348612,3197439,207933,0,0,110663081,119417065,0,0,0,28224743,28224743,147641808,56503163,86253259,233895067,26329532,5673952,729229438,448143318,1177372756,394262631,383189875,11072756,18862049,29934805,0,29934805,0.31,55198897,254934166
5227,BRISTOL HOSPITAL  INC,BREWSTER ROAD,BRISTOL,CT,06111-0977,HARTFORD,U,795.57,"23,770",105,"38,325",6425,"27,831",120,"43,800","6,725",19617,91,33215,6425,304378,5941918,2939965,16055677,56612043,88958005,5324329,150596630,166683172,287671289,454354461,19952948,0,60305359,1109587,26347,0,1346614,0,0,20051847,0,2018274,3774324,3182501,32020826,0,10853870,48710178,59564048,132516386,20421732,4982685,0,2928232,0,5743342,34075991,61048185,0,0,25125772,86173957,120249948,12266438,12266438,132516386,0,0,168334045,299549911,467883956,153010507,151614366,1396141,-16775202,-15379061,0,-15379061,0.33,9812404,101436488
5228,THE HOSPITAL OF CENTRAL CONNECTICUT,100 GRAND STREET,NEW BRITAIN,CT,06050-,HARTFORD,U,"1,634.40","57,673",226,"82,384",11910,"68,591",258,"94,064","12,722",46797,202,73624,11910,4052044,10835367,8757994,10934451,144927065,254391738,24222324,354668295,487667689,596548800,1084216489,41158891,1756896,144927065,14070608,96849,0,41151880,0,0,62066754,-19149942,6604120,2927752,0,109775480,0,190549028,44969799,235518827,516184712,10494088,12035546,0,1151544,0,22931821,46612999,73341909,0,0,139767052,213108961,259721960,199069007,256462752,516184712,19409904,2458864,512191305,641809939,1154001244,405892014,399318803,6573211,26662204,33235415,0,33235415,0.33,70277770,273222515
5229,NORTH SHORE MEDICAL CENTER AND FMC C,1100 N.W. 95 ST,MIAMI,FL,33150-2098,MIAMI-DADE,U,"1,462.80","121,029",718,"262,415",23790,"121,029",718,"262,415","23,790",91665,630,230207,23790,30433719,41893243,35865075,77807352,122975521,246512837,12597006,334760579,2286243956,1142592527,3428836483,27434904,0,122975521,1025995,0,603,1142,-395915,289035,263420393,-207954004,5065341,1565257,14209159,76200408,0,0,30856625,30856625,206295492,12872912,2092276,5521795,2622193,0,43552978,66662154,3091175,0,0,4130083,7221258,73883412,132412080,132412080,206295492,51825053,0,2298901724,1145313701,3444215425,320002783,369418942,-49416159,6783573,-42632586,0,-42632586,0.1,37134932,762335983
5230,PALMETTO GENERAL HOSPITAL,2001 W. 68TH STREET,HIALEAH,FL,33016,MIAMI-DADE,U,"1,265.00","81,605",368,"134,320",19693,"82,612",368,"134,320","19,693",61222,296,108040,19693,17256873,30329050,20897485,43073474,100589359,200062594,13255899,265418171,1719335011,883431430,2602766441,23125236,0,100589359,1522668,0,1236253,1100,0,0,146617145,-97291395,7559400,522297,0,67182079,0,8645,107736102,107744747,302945111,13335345,3302511,4350261,2510102,0,8790034,32288253,2397066,0,0,700240,3097306,35385559,267559552,267559552,302945111,62421668,1723155,1726671517,881924918,2608596435,325476803,300705452,24771351,2233205,27004556,0,27004556,0.1,26426257,470524086
5231,PEKIN MEMORIAL HOSPITAL,600 SOUTH 13TH STREET,PEKIN,IL,61554,TAZEWELL,U,278.4,"9,051",95,"37,591",2137,"9,051",95,"37,591","2,137",8097,87,34671,2137,196682,5445833,1369287,5596121,15110342,24194237,-216328,44932240,89417549,218629711,308047260,5401313,0,15110342,1471118,0,0,977023,2370290,0,7249613,0,1513520,116643,255358,25762010,0,2906789,0,2906789,51902057,2072566,727173,0,0,0,1523297,11973116,0,0,0,16853940,16853940,28827056,23075001,23075001,51902057,0,0,89647524,220624465,310271989,53207270,39304579,13902691,689558,14592249,10809343,3782906,0.15,4956956,66256974
5232,GOODLAND REGIONAL MEDICAL CENTER,220 WEST 2ND STREET,GOODLAND,KS,67735-,SHERMAN,R,104.47,"1,391",22,"7,935",231,"20,566",22,"7,935",231,630,22,7935,231,60232,818935,524826,797661,8794365,12650016,774944,19237901,3817660,30879087,34696747,0,0,0,0,0,0,2244012,0,0,3644960,-1548079,578726,67181,0,5103906,0,645294,5913,651207,9431366,912776,342539,0,317536,0,883098,2455949,0,0,0,1313203,1313203,3769152,5662214,5662214,9431366,0,0,3660881,32110696,35771577,18722501,21444381,-2721880,2302046,-419834,0,-419834,0.55,1051127,2387849
5233,THIBODAUX REGIONAL MEDICAL CTR,602 NORTH ACADIA ROAD,THIBODAUX,LA,70302,,U,918.83,"21,436",130,"47,450",6116,"50,514",160,"58,400","6,725",16829,114,41610,6116,76065,11601521,2834955,2834955,70481872,115153443,11303307,131499633,265920707,487255033,753175740,10442412,0,70481872,2268974,0,0,11786212,2272712,0,100554620,-79628069,3119379,2245314,101362276,206788265,0,0,3957982,3957982,383747192,12055817,3587686,797275,0,0,3753338,20194116,0,0,0,0,0,20194116,363553076,363553076,383747192,0,0,288908193,526646853,815555046,183907416,185635315,-1727899,10333070,8605171,-2916312,11521483,0.17,10691688,83369509
5234,ACADIA VERMILION HOSPITAL,2520 UNIVERSITY AVENUE,LAFAYETTE,LA,70507,,U,138.1,"25,810",78,"28,470",2953,"25,810",78,"28,470","2,953",25810,78,28470,2953,0,0,0,0,7077158,7256409,647785,13342166,56781999,2023907,58805906,0,0,0,0,0,0,-85369,0,0,1975695,-557860,0,126005,41778,1500249,0,106617,0,106617,10714546,560243,582642,0,0,0,-5316,1137569,0,0,0,12151777,12151777,13289346,-2574800,-2574800,10714546,0,0,57749762,2023907,59773669,16977690,14333567,2644123,52421,2696544,0,2696544,,0,0
